Name of School,State,Feb,March,April,qtr
Z. P. H. S. Nawabpet,Andhra Pradesh,28,11,0,13
Z. P. H. S. (N. T. P. C.) Jyothinagar,Andhra Pradesh,8,10,0,6
Z. P. H. S. Nusthulapur,Andhra Pradesh,2,3,0,2
Z. P. H. S. Odela,Andhra Pradesh,0,28,0,9
Z. P. H. S. Peddapalli ,Andhra Pradesh,3,0,0,1
Z. P. H. S. Pegadapally,Andhra Pradesh,2,2,0,1
Z. P. H. S. Porandla,Andhra Pradesh,8,1,0,3
Z. P. H. S. Pudoor,Andhra Pradesh,2,18,3,8
Z. P. H. S. Ramnagar,Andhra Pradesh,44,14,0,19
Z. P. H. S. Sundharagiry,Andhra Pradesh,9,11,0,7
Z. P. H. S. Vadlurbegampet,Andhra Pradesh,47,13,0,20
Z. P. H. S. Veenavanka,Andhra Pradesh,10,4,0,5
Z. P. H. S. Velgatur,Andhra Pradesh,0,13,0,4
Z. P. H. S. Venkepally,Andhra Pradesh,7,24,0,10
Z. P. H. S. Vilasagar,Andhra Pradesh,6,3,0,3
Z. P. H. S. Wadkapur,Andhra Pradesh,2,5,0,2
Z. P. H. S. Yellareddypet,Andhra Pradesh,19,38,0,19
Z. P. H. S. Battuguda,Andhra Pradesh,20,11,0,10
Madarsa Al-Noor -Lil Bannath,Andhra Pradesh,0,8,0,3
Madarsa Jamia Islamia Noor-Ul-Uloom School,Andhra Pradesh,5,0,0,2
G. H. S. Rajendranagar,Andhra Pradesh,36,4,0,13
Hari Hara Grammar School,Andhra Pradesh,20,5,0,8
PUDAMI School ,Andhra Pradesh,8,19,0,9
Sri Jaya Sai Vidyalayam High School,Andhra Pradesh,14,15,0,10
Sri Vikasa Bharathi School,Andhra Pradesh,13,13,0,9
Z. P. H. S. Agganoor,Andhra Pradesh,9,2,0,4
Z. P. H. S. Balaji Nagar,Andhra Pradesh,24,3,0,9
Z. P. H. S. Bantaram,Andhra Pradesh,0,4,0,1
Z. P. H. S. (B) Shabad,Andhra Pradesh,22,15,0,12
Z. P. H. S. Dadapur,Andhra Pradesh,20,11,0,10
Z . P. H. S. Dharur,Andhra Pradesh,20,19,0,13
Z. P. H. S.  Doma,Andhra Pradesh,10,4,0,5
Z . P. H. S. Gandweed,Andhra Pradesh,1,3,0,1
Z. P. H. S. Ghatkesar,Andhra Pradesh,7,0,0,2
Z. P. H. S. (G) Shankarpally,Andhra Pradesh,2,30,0,11
Z . P. H. S. (G) Vikarabad,Andhra Pradesh,0,35,0,12
Z. P. H. S. Hayathnagar ,Andhra Pradesh,15,0,0,5
Z. P. H. S. Indoor,Andhra Pradesh,0,2,0,1
Z. P. H. S. Kankal,Andhra Pradesh,8,16,0,8
Z. P. H. S. Kondakal,Andhra Pradesh,13,17,0,10
Z. P. H. S. Kukatpally,Andhra Pradesh,36,8,0,15
Z . P. H. S. Kukindha,Andhra Pradesh,9,3,0,4
Z . P. H. S. Kulacherla,Andhra Pradesh,6,5,0,4
Z. P. H. S. Kushaiguda,Andhra Pradesh,44,19,0,21
Z. P. H. S. Maheshwaram,Andhra Pradesh,3,7,0,3
Z. P. H. S.  Mambapur,Andhra Pradesh,6,17,0,8
Z . P. H. S. Marpally,Andhra Pradesh,2,2,0,1
Z. P. H. S. Medchal,Andhra Pradesh,14,17,0,10
Z. P. H. S. Nagavaram,Andhra Pradesh,33,10,0,14
Z . P. H. S. Nancherla,Andhra Pradesh,0,2,0,1
Z. P. H. S. Naredmet,Andhra Pradesh,15,3,0,6
Z . P. H. S. Pargi,Andhra Pradesh,29,20,0,16
Z . P. H. S. Patloor,Andhra Pradesh,0,9,0,3
Z. P. H. S. Pudur ,Andhra Pradesh,18,20,0,13
Z. P. H. S. Quthbullapur ,Andhra Pradesh,23,5,0,9
Z. P. H. S. Saroornagar,Andhra Pradesh,9,0,0,3
Z. P. H. S. Serilingampally,Andhra Pradesh,11,20,0,10
Z. P. H. S. Shivarampally,Andhra Pradesh,12,20,0,11
Z. P. H. S. Thormamidi,Andhra Pradesh,3,5,0,3
Z. P. H. S. Uppal,Andhra Pradesh,30,29,0,20
A. P. Residential School,Andhra Pradesh,0,34,0,11
Little Garden High School,Andhra Pradesh,0,18,0,6
Newton Public School,Andhra Pradesh,0,1,4,2
Perl Public School,Andhra Pradesh,18,8,4,10
Pratham Open School,Andhra Pradesh,9,11,0,7
Queen Mary High School,Andhra Pradesh,6,0,0,2
Srivdya Talent School,Andhra Pradesh,21,1,2,8
Surryadaya Talent School,Andhra Pradesh,22,15,2,13
Surya Bharathi School,Andhra Pradesh,9,3,0,4
Pratham Urban Learning Center,Andhra Pradesh,0,1,3,1
Pratham Urban Learning Center,Andhra Pradesh,1,1,3,2
Pratham Urban Learning Center,Andhra Pradesh,7,1,3,4
Pratham Urban Learning Center,Andhra Pradesh,2,1,3,2
Pratham Urban Learning Center,Andhra Pradesh,9,1,3,4
Vivekanada Vidya Nilayam,Andhra Pradesh,6,10,0,5
Assam Vidyapith M.E. School,Assam,0,0,0,0
Assisi School,Assam,2,14,5,7
Christ King School,Assam,3,0,3,2
Daffodils Co-Ed High School,Assam,14,15,14,14
Dibrugarh Bengali High School,Assam,0,11,16,9
Dibrugarh Adarsha Vidyalaya,Assam,0,7,11,6
Dihing Vally School,Assam,0,0,2,1
Dr. Ambedkar English Academy,Assam,20,74,19,38
F.F.R.R. Memorial School,Assam,0,0,0,0
Holy Child School,Assam,17,4,0,7
Holy Flower School,Assam,3,5,6,5
K.C. Jatiya Vidyalaya,Assam,11,7,6,8
Little Angel High School,Assam,0,1,5,2
Little Star High School,Assam,3,1,7,4
Lose Angels English Academy,Assam,5,2,0,2
M.G. English High School,Assam,8,12,6,9
Modarkhat Model School,Assam,3,3,10,5
Montfort High School,Assam,0,0,0,0
New Vista English School,Assam,0,1,0,0
Nirmali Girl's High School,Assam,17,20,23,20
Pragon M.G. Academy,Assam,2,0,0,1
Rastra Bhasha Deep Vidyalaya,Assam,15,13,34,21
Rose Bud High School,Assam,0,0,0,0
Rup-Nagar Jatiya Vidyalaya,Assam,17,9,3,10
Sacred Grooves School,Assam,5,17,10,11
Sacred Heart School,Assam,6,8,12,9
Seven Sisters English School,Assam,10,6,15,10
Shishu Niketan English School,Assam,4,13,16,11
Vivekanda Kendra Vidyalaya,Assam,4,0,18,7
Bokakhat Jatiya Bidyalaya,Assam,11,20,7,13
Bortika Afala M.E. School,Assam,0,0,0,0
Dergaon Higher Secondary School,Assam,0,5,6,4
Dhekial Higher Secondary School,Assam,1,8,10,6
Golaghat Jatiya Vidyalaya,Assam,0,8,17,8
Holy Grace English School,Assam,5,10,6,7
Khogeshwar Baruah Memorial English School,Assam,1,14,5,7
Shishu Bharati E.M.H. School,Assam,0,52,23,25
St. John High School,Assam,13,3,17,11
Vidyarthi Bhavan,Assam,1,0,2,1
Assam Rifles Public School,Assam,7,8,3,6
Borhula Girls M.E. School,Assam,1,2,15,6
Bright Future English School,Assam,12,25,20,19
Concept English School,Assam,15,16,5,12
Jorhat Govt. Girls Higher Secondary School,Assam,0,1,16,6
Jorhat Govt. Boys Higher Secondary School,Assam,3,13,1,6
Jyanudaya Vidyapith,Assam,2,3,3,3
Rastrabhasa Vidyalaya,Assam,12,17,8,12
R.V. Public School,Assam,0,0,5,2
Sankardev Seminary,Assam,0,0,2,1
"St. Mary's School, Jorhat",Assam,23,59,39,40
Arunodaya English Medium High School,Assam,19,25,37,27
Asian Academy English School,Assam,14,15,22,17
Damayanti High School,Assam,15,7,9,10
Faculty Public School,Assam,10,16,10,12
Gopinath Bordoloi Nagar Academy,Assam,7,12,14,11
Nabarun English School,Assam,0,0,0,0
Nepa English Medium High School,Assam,0,0,0,0
Parijat Academy,Assam,9,11,19,13
Sankardev Sishu Niktan,Assam,8,17,10,12
Saraswati Siksha Niketan,Assam,3,10,26,13
St. Mary's High School,Assam,3,11,21,12
Bapuji Little Flower English Medium School,Assam,15,20,15,17
Brahmaputra Academy English School,Assam,7,7,1,5
Diksha Vidya Bhawan,Assam,5,0,4,3
Howajan Academy,Assam,17,4,11,11
Lohit Valley Central School,Assam,1,0,10,4
M.S. Memorial REC School,Assam,2,16,24,14
Namani Subansiri Higher Secondary School,Assam,4,8,2,5
New Model School,Assam,13,16,13,14
Orient Academy,Assam,11,12,27,17
Subanshri Seva Samiti School,Assam,8,10,2,7
Bhogeshwar Hazarika Girls' Higher Secondary School,Assam,20,10,9,13
Georgian English School,Assam,9,5,13,9
Kalong Valley High School,Assam,9,7,5,7
Kiddi's Land English Medium High School,Assam,0,0,23,8
"National Academy, Rairongia",Assam,0,0,0,0
"National Academy, Panigaon",Assam,7,0,6,4
Pranjal Memorial Academy,Assam,1,5,17,8
Raidongia H.S. School,Assam,4,5,19,9
Sankardev Sishu Vidya Niketan,Assam,2,16,5,8
St. Boniface School,Assam,17,6,4,9
Barbhag Kalag HS School,Assam,4,1,9,5
Central Public School,Assam,9,0,49,19
KNM English Academy,Assam,30,7,30,22
"Nalanada Public School, Kaithalkuchi",Assam,1,7,0,3
"Nalanada Public School, Japarkuchi",Assam,16,1,8,8
Piplibari M.V. School,Assam,48,72,48,56
Sankarjyoti Modern Academy,Assam,17,11,6,11
Sorbodoy National Academy,Assam,13,4,17,11
SRD Jain High School,Assam,18,10,10,13
Demow Girls High School,Assam,3,23,4,10
Demow Higher Secondary School,Assam,0,2,8,3
Divine Valley English School,Assam,10,26,24,20
Hemchandra Boragohain Model English School,Assam,10,9,26,15
Markaz Academy English Medium School ,Assam,0,13,7,7
New Look Academy,Assam,0,8,5,4
St. John's School,Assam,1,7,12,7
Sunny Rose English High School,Assam,25,13,13,17
Twinkiling Star Academy,Assam,27,6,21,18
"Twinkiling Star Academy, Demow",Assam,7,0,17,8
Balipara Government Higher Secondary School,Assam,15,52,21,29
Barpatgaon M.V. School,Assam,0,0,0,0
Debendra Green Grove English High School,Assam,9,27,17,18
Elite Academy,Assam,1,0,1,1
Good Angels High School,Assam,9,64,47,40
Model Academy,Assam,26,45,64,45
"Mount Sinai English High School, Rongachokua",Assam,16,34,16,22
"Mount Sinai English High School, Towbhanga",Assam,29,38,27,31
Sidhartha Vidyalaya,Assam,17,23,40,27
Vinoda Academy,Assam,18,38,31,29
B.B.Memorial Public School,Assam,2,10,22,11
Chah Mazdoor Central M.E. School,Assam,5,11,31,16
Holy Child School,Assam,3,4,0,2
Learner's High School,Assam,3,4,3,3
Lotus Academy,Assam,35,22,8,22
Mary Joan's Academy,Assam,17,12,4,11
Senairam Higher Secondary School,Assam,2,5,3,3
Twinkling Star High School,Assam,3,3,0,2
Vivekananda English Academy,Assam,4,7,7,6
Vivekananda Academy,Assam,7,9,10,9
Aryan Public School,Bihar,19,0,11,10
Gyandeep School,Bihar,12,0,12,8
Gyan Niketan School,Bihar,26,6,21,18
Jeanitabh School,Bihar,4,0,3,2
Marni School,Bihar,15,2,10,9
Polytechnic English School,Bihar,18,2,10,10
Prakash Vidya Mandir,Bihar,3,1,0,0
Pre Quasimi School,Bihar,3,0,7,3
Siddharth Compassion Trust School,Bihar,8,0,0,3
Spring Dales School,Bihar,27,12,1,13
St. Francis Academy,Bihar,21,16,0,12
Surya Bharti School,Bihar,17,8,11,12
Unique English School,Bihar,5,20,9,11
"Aadersh Madhya Vidhyalaya, Bekapur",Bihar,18,2,21,14
Adarsh Shankul Middle School,Bihar,34,6,15,18
Cambridge Public School,Bihar,9,2,1,4
Govt. Girls Middle School,Bihar,3,0,29,11
"Madhya Vidhaylay, Kasimbazar",Bihar,42,0,0,0
"Madhya Vidhyalya, Chowkbazar",Bihar,26,24,24,25
"Madhya Vidhyalay, Mahaddipur",Bihar,16,9,3,9
"Madhya Vidyalay, Basudevpur",Bihar,18,15,0,11
"Madhya Vidyalay, Sandalpur",Bihar,22,21,14,19
"Madhya Vidhyalaya, Madhopur",Bihar,51,0,0,17
Senior Mark's Convent School,Bihar,6,0,4,3
All Saint School,Bihar,1,0,6,2
Green Garden Public School,Bihar,8,2,8,6
Gyan Siddh Public School,Bihar,18,23,19,20
"Kasturba Gandhi Vidyalay, Islampur",Bihar,10,8,4,7
"Middle School, Lahaur",Bihar,0,0,0,0
"Middle School, Hasanpur",Bihar,7,0,4,4
"Middle School, Rajgir",Bihar,22,10,6,13
New Horizons Public School,Bihar,8,6,0,5
Sant Jain Kamal Muni School,Bihar,16,0,0,5
"Utkramit Madhya Vidyalay, Chhabilapur",Bihar,0,0,0,0
"Utkramit Madhya Vidyalay, Dogi",Bihar,7,0,0,2
"Vivekanand Middle School, Rajgir",Bihar,0,0,0,0
Adhideva Public School,Bihar,13,3,10,9
Awasiya Gyan Bharti,Bihar,34,0,32,22
Balak Middle School,Bihar,0,4,7,4
Balika Madhya Vidyalaya,Bihar,28,7,25,20
Betham A P J Academy,Bihar,16,0,8,8
Charka High School,Bihar,7,1,11,6
CLC Malsalami,Bihar,9,11,16,12
CLC Noon Ki Chauraha,Bihar,0,0,9,3
Dayanand Kanya Vidyalaya,Bihar,9,0,1,3
D.P.A. Gyanodaya English School,Bihar,20,1,3,8
Dr. C.V.Raman Public School,Bihar,5,3,3,4
Eklavya Learning Centre Gaighat ,Bihar,1,4,15,7
ELC Tripolia ,Bihar,15,7,7,10
Gajadhar Middle School,Bihar,7,1,5,4
Gandhi Middle School,Bihar,10,20,5,12
"Girls Middle School, Adalatganj",Bihar,2,0,14,5
Govt. Middle School,Bihar,13,9,24,15
"Hindi Middle School, Dundi Bazar ",Bihar,4,7,29,13
"Kanya Madhya Vidalaya, Amla Tola",Bihar,0,0,13,4
"Kanya Madhya Vidyalaya, Golghar",Bihar,5,7,2,5
"Kanya Middle School, Ranipur",Bihar,32,34,35,34
"Kanya Middle School, Begampur",Bihar,24,7,34,22
Kilkari,Bihar,8,8,12,9
Lakshy Public School,Bihar,34,27,20,27
"Middle School, Menhdiganj",Bihar,22,21,14,19
Maidan Adarsh Middle School,Bihar,26,21,15,21
"Middle School, Maharajghat",Bihar,8,0,32,13
"Middle School, Mirdah Toli",Bihar,22,1,11,11
"Middle School, Chaughara",Bihar,2,0,25,9
"Middle School, Sabalpur",Bihar,0,0,0,0
"Middle School, Maharajganj",Bihar,24,4,11,13
"Middle School, Khumrar",Bihar,25,14,4,14
"Middle School, Rajapur Mainpura",Bihar,12,0,25,12
"Middle School, Allahboxpur",Bihar,33,6,6,15
"Middle School, Babuaganj",Bihar,1,0,0,0
"Middle School, Nuruddinganj",Bihar,18,5,33,19
"Middle School, Maikenji",Bihar,20,7,1,9
"Middle School, Saguna ",Bihar,13,0,3,5
Millenium Convent Public School,Bihar,13,4,9,9
Modern Compitive High School,Bihar,22,1,1,8
Modern School,Bihar,6,2,3,4
Mount Everest Middle School,Bihar,20,0,0,7
Muradpur Govt. Middle School,Bihar,26,4,22,17
"Rajikya Madhya Vidalay, Nargada",Bihar,17,11,0,9
Rajkiya Sipahi Bhagat Madhya Vidyalay,Bihar,28,23,34,28
Rajkiya Vani Mandir Madhya Vidyalya,Bihar,14,3,28,15
Rajkiya Kanya Middle School,Bihar,22,12,8,14
"Rajkiya Madhya Vidyalay, Turha toli",Bihar,17,2,0,6
Ramjichak Middle School ,Bihar,6,4,1,4
Ram Narayan Middle School,Bihar,19,7,14,13
Residential United Public School,Bihar,32,8,12,17
Residential Balvikash Niketan,Bihar,7,25,21,18
"R. Govt. Middle School, East Lohanipur",Bihar,0,0,3,1
Saraswati Shishu Vidya Mandir,Bihar,16,4,0,7
Sarvoday High School,Bihar,19,15,4,13
Sarvodaya Public School,Bihar,22,16,14,17
Shramik Madhya Vidyalaya,Bihar,12,4,3,6
Sri Chandra Madhya Vidyalaya ,Bihar,13,9,12,11
S.M. Mission School,Bihar,48,16,11,25
St. Patrick Academy ,Bihar,43,19,19,27
St. Ravinra Bharti School,Bihar,25,0,14,13
Sunrise Residential School,Bihar,28,22,15,22
Suresh Usha Gyan Niketan,Bihar,15,4,0,6
"Urdu Middle School, Gulzarbagh ",Bihar,12,2,0,5
Urdu Middle School,Bihar,0,0,5,2
Utakramit Mahdya Vidyalay,Bihar,2,1,13,5
"Utakramit Madhya Vidalay, Brij Narayanpur",Bihar,0,5,8,4
Vidya Vihar High School,Bihar,19,7,0,9
"R. Kanya Middle School, Shastri Nagar",Bihar,9,8,0,6
"R. Kanya Middle School, Raj Bhawan",Bihar,20,3,2,8
"R. Kanya Middle School, Punaichak",Bihar,7,3,22,11
Kasturba Gandhi Balika Vidyalaya,Bihar,2,0,0,1
"Middle School, Marwari",Bihar,2,0,0,1
"Middle School, Jalalpur",Bihar,9,18,6,11
"Middle School, Ramnagar",Bihar,6,6,9,7
"Middle School, Bachharpur Urdu",Bihar,34,2,30,22
"Middle School, Tilaksah",Bihar,1,0,8,3
Pupri Central School,Bihar,0,0,0,0
"Rajkiya Kanya Madhya Vidyalay, Hardiya",Bihar,37,24,23,28
Sri Ravindra Tiwari Saraswati Vidya Mandir,Bihar,22,6,3,10
Sudarshan Central School,Bihar,19,1,5,8
Swet Kamal Public School,Bihar,0,0,0,0
Anand Parvat Learning Centre,Delhi,11,2,60,24
Bajaj Public School,Delhi,15,0,15,10
Baljeet Nagar Learning Centre,Delhi,14,1,13,9
Prem Nagar Learning Centre,Delhi,0,0,0,0
Anglo Indian Public School,Delhi,0,0,11,4
Aryan Public School,Delhi,0,0,11,4
Babu Nagar Learning Centre,Delhi,7,0,4,4
Dallupura Learning Centre,Delhi,25,5,19,16
Dinkar National Model School,Delhi,5,0,0,2
East End Public School,Delhi,1,0,3,1
Florence Convent School,Delhi,13,8,3,8
Kondli Learning Centre,Delhi,23,16,23,21
Moti Memorial Public School,Delhi,3,1,7,4
Mount Everest Public School,Delhi,10,0,4,5
National Herald Public School,Delhi,6,0,7,4
Rani Garden Learning Centre,Delhi,14,4,17,12
Sri Ram-eesh Public School,Delhi,13,0,1,5
St. Suji Public School,Delhi,4,0,19,8
Trilokpuri Learning Centre,Delhi,25,22,20,22
Vaishali Public School,Delhi,10,4,2,5
Vasundhara Public School,Delhi,6,2,3,4
Azad Pur Village Learning Centre,Delhi,8,0,13,7
Jahangirpuri Learning Centre,Delhi,0,0,12,4
J.C. Gaur Public School,Delhi,0,0,0,0
Mukund Pur Learning Centre,Delhi,17,24,26,22
Sarai Pipal Thala Learning Centre,Delhi,29,21,14,21
St. Ramjas Convent School,Delhi,4,0,5,3
Abhinav Bharti Bhawan Public School,Delhi,25,0,12,12
Ambika Vihar Learning Centre,Delhi,14,5,17,12
Bal Convent Public School,Delhi,9,0,3,4
Bhagirathi Vihar Learning Centre,Delhi,21,5,15,14
Bhandari Modern Public School,Delhi,13,0,6,6
Capital Public School,Delhi,39,4,38,27
G.P. Public School,Delhi,9,0,1,3
Kabeer Nagar Learning Centre,Delhi,20,0,12,11
K.V. Vidya Mandir,Delhi,0,0,13,4
K.V.V.M. Public School,Delhi,10,0,9,6
Maharana Pratap Model Public School,Delhi,16,3,0,6
Mandoli Learning Centre,Delhi,36,1,24,20
Monrach Public School,Delhi,10,0,0,3
S.P. Convent Public School- Tahir Pur,Delhi,29,8,0,12
S.P. Convent Public School- Nand Nagri,Delhi,4,0,2,2
St. Krishna Bodh Shiksha Sadan,Delhi,6,1,2,3
St. Marks Convent School,Delhi,10,0,5,5
Tarawati Memorial Public School,Delhi,20,1,3,8
Usman Pur Learning Centre,Delhi,4,15,7,9
Budh Vihar Learning Centre,Delhi,1,8,11,7
Naveen Model School,Delhi,0,0,0,0
Nehru Nagar Learning Centre,Delhi,11,0,22,11
Nangloi Learning Centre,Delhi,0,0,23,8
"Govt. High School Nehra, Suni",Himachal Pradesh,36,7,19,21
Govt. High School Dhamandari,Himachal Pradesh,9,4,13,9
Govt.High School Garkahan,Himachal Pradesh,0,22,10,11
Govt. High School Shilaru,Himachal Pradesh,0,3,0,1
Govt. High School Kiartoo,Himachal Pradesh,7,6,6,6
"Govt . High School Nehra, Kasumpati",Himachal Pradesh,18,43,23,28
Govt. High School Annadale,Himachal Pradesh,14,39,11,21
Govt.  High School Anandpur,Himachal Pradesh,15,21,17,18
Govt. High School Majhrana,Himachal Pradesh,15,12,22,16
Govt. Middle School Mehli,Himachal Pradesh,6,8,10,8
Govt. Middle School Baag,Himachal Pradesh,3,26,6,12
Govt. Middle School Karana,Himachal Pradesh,5,12,21,13
Govt. Middle School Shakrori,Himachal Pradesh,0,0,12,4
Govt . Middle School Shankli,Himachal Pradesh,21,12,17,17
Govt. Middle School Girab,Himachal Pradesh,6,2,3,4
Govt. Middle School Navbahar,Himachal Pradesh,6,28,7,14
Govt.  Middle School K.K.Pani,Himachal Pradesh,1,14,7,7
Govt. Senior Secondary School Theog (Boys),Himachal Pradesh,2,0,0,1
Govt. Senior Secondary School Baldian,Himachal Pradesh,5,5,11,7
Govt. Senior Secondary School Gadakufri,Himachal Pradesh,4,16,28,16
Govt. Senior Secondary School Mandhorghat,Himachal Pradesh,2,0,11,4
Govt. Senior Secondary School Matiana,Himachal Pradesh,6,5,11,7
Govt. Senior Secondary School Kiar Koti,Himachal Pradesh,2,43,20,22
Govt. Senior Secondary School Shakrha,Himachal Pradesh,0,5,4,3
Govt.Senior Secondary School Theog (Girls),Himachal Pradesh,6,6,28,13
Govt. Senior Secondary School Dhammi,Himachal Pradesh,6,11,7,8
Govt. Senior Secondary School Patukhar,Himachal Pradesh,4,0,17,7
Govt. Senior Secondary School Sandhu,Himachal Pradesh,1,5,11,6
Govt. Senior Secondary School Basantpur,Himachal Pradesh,7,0,11,6
Govt. Senior Secondary School Thachi,Himachal Pradesh,13,0,6,6
Govt. Senior Secondary School Totu,Himachal Pradesh,2,35,0,12
Baba Hansdev Mission School,Jharkhand,5,0,23,9
Bal Bharti School,Jharkhand,19,6,4,10
Career School ,Jharkhand,13,12,6,10
Bright Career Public School,Jharkhand,31,24,13,23
Greenwich School,Jharkhand,8,0,17,8
Indian Public School,Jharkhand,19,11,12,14
New Nexus School,Jharkhand,1,4,7,4
Shyamsundar Shiksha Sadan,Jharkhand,5,0,7,4
Sri Lilanand (Pagal Baba) Uchcha Vidyapith,Jharkhand,17,0,4,7
St. Arvindo School,Jharkhand,9,8,11,9
Godavari Vidya Niketan,Jharkhand,18,9,27,18
International School of Competition,Jharkhand,20,19,12,17
JSS Public School,Jharkhand,8,0,10,6
Mother Teresa Memorial School,Jharkhand,9,14,11,11
New Angels Home School,Jharkhand,31,0,1,11
Royal High School of Education,Jharkhand,16,12,21,16
SS Public School,Jharkhand,24,14,9,16
St. Chishtee Shahid Memorial Academy,Jharkhand,16,1,8,8
Steps of Learning,Jharkhand,22,4,5,10
Veena Bal Vikas Vidyalaya,Jharkhand,9,8,19,12
Adim Jati Sewamandal,Jharkhand,11,4,3,6
Arya Sanatan Vidyalaya,Jharkhand,4,0,4,3
Basic School Dumri,Jharkhand,19,26,6,17
GMS Baniyadih,Jharkhand,5,0,33,13
GMS Bhagat Ishri Bazar,Jharkhand,14,3,19,12
GMS Girls' Mirjaganj ,Jharkhand,26,3,11,13
GMS Jamua Kanya  (BRC Campus),Jharkhand,9,0,9,6
GMS Kamla Nehru,Jharkhand,39,9,18,22
GMS Kanya Isri Bazar,Jharkhand,22,0,14,12
GMS Koirytola ,Jharkhand,14,0,5,6
GMS Mahatma Gandhi,Jharkhand,4,18,4,9
GMS Maheshlundi,Jharkhand,3,2,6,4
GMS Mohalichuan,Jharkhand,14,0,15,10
GMS Nehru,Jharkhand,0,0,1,0
GMS Patrodih,Jharkhand,14,0,0,5
GMS Rani Laxmibai,Jharkhand,6,1,2,3
GMS Sharda Kanya ,Jharkhand,17,8,7,11
GUMS Ajidih,Jharkhand,12,0,3,5
GUMS Jhalakdiha,Jharkhand,12,0,5,6
GUMS Sirsiya (B R C),Jharkhand,29,11,0,13
Sri Durgamata Shishu  Vidya Mandir,Jharkhand,35,20,10,22
St. John's School,Jharkhand,13,7,12,11
St. Xavier's School,Jharkhand,13,5,8,9
UMS Arakshy Kendra ,Jharkhand,14,7,0,7
